Distance_(pixels),Value,Y1
199,55515574272.000,56175202304.000
200,55517446144.000,56178106368.000
201,55519354880.000,56180826112.000
202,55521239040.000,56184020992.000
203,55522787328.000,56186695680.000
204,55524417536.000,56190009344.000
205,55526166528.000,56192847872.000
206,55527542784.000,56195940352.000
207,55529107456.000,56199315456.000
208,55530147840.000,56202592256.000
209,55530782720.000,56206159872.000
210,55531835392.000,56209227776.000
211,55532990464.000,56212652032.000
212,55533510656.000,56216162304.000
213,55534690304.000,56219627520.000
214,55536496640.000,56222912512.000
215,55538135040.000,56225857536.000
216,55540285440.000,56228425728.000
217,55542603776.000,56230653952.000
218,55545118720.000,56232693760.000
219,55547510784.000,56234037248.000
220,55549710336.000,56234631168.000
221,55552794624.000,56235302912.000
222,55555846144.000,56235483136.000
223,55559024640.000,56234938368.000
224,55562145792.000,56234967040.000
225,55565516800.000,56234225664.000
226,55569235968.000,56233725952.000
227,55573131264.000,56232968192.000
228,55576784896.000,56232267776.000
229,55581077504.000,56231579648.000
230,55584866304.000,56231219200.000
231,55588913152.000,56231084032.000
232,55593000960.000,56231350272.000
233,55597129728.000,56231669760.000
234,55600934912.000,56232017920.000
235,55604850688.000,56232882176.000
236,55608557568.000,56233885696.000
237,55612039168.000,56235143168.000
238,55615053824.000,56236171264.000
239,55618187264.000,56237719552.000
240,55620497408.000,56238923776.000
241,55622791168.000,56240193536.000
242,55624749056.000,56241627136.000
243,55626334208.000,56243007488.000
244,55627931648.000,56244051968.000
245,55628996608.000,56245059584.000
246,55630385152.000,56245731328.000
247,55631585280.000,56246366208.000
248,55632293888.000,56247324672.000
249,55633420288.000,56247795712.000
250,55634546688.000,56248455168.000
251,55635591168.000,56248782848.000
252,55636516864.000,56249372672.000
253,55637495808.000,56249643008.000
254,55637671936.000,56249495552.000
255,55638147072.000,56249470976.000
256,55637901312.000,56249630720.000
257,55637024768.000,56248946688.000
258,55636013056.000,56248569856.000
259,55634325504.000,56248246272.000
260,55631798272.000,56247328768.000
261,55629053952.000,56246292480.000
262,55625392128.000,56245288960.000
263,55621718016.000,56244199424.000
264,55617073152.000,56242909184.000
265,55612186624.000,56241774592.000
266,55607660544.000,56240820224.000
267,55602851840.000,56240529408.000
268,55598235648.000,56240345088.000
269,55593455616.000,56240017408.000
270,55589109760.000,56240525312.000
271,55584874496.000,56240951296.000
272,55581102080.000,56242077696.000
273,55577235456.000,56243519488.000
274,55573831680.000,56245313536.000
275,55570714624.000,56247427072.000
276,55567896576.000,56249516032.000
277,55564677120.000,56251723776.000
278,55561854976.000,56254193664.000
279,55558758400.000,56256655360.000
280,55555760128.000,56258977792.000
281,55552937984.000,56260968448.000
282,55550103552.000,56263225344.000
283,55548112896.000,56264818688.000
284,55545520128.000,56266018816.000
285,55543668736.000,56267177984.000
286,55541854208.000,56267227136.000
287,55540391936.000,56267370496.000
288,55539392512.000,56266850304.000
289,55538696192.000,56266264576.000
290,55538618368.000,56264822784.000
291,55538397184.000,56263073792.000
292,55538708480.000,56260976640.000
293,55538794496.000,56258977792.000
294,55539834880.000,56256557056.000
295,55540572160.000,56254279680.000
296,55541358592.000,56251912192.000
297,55542108160.000,56249614336.000
298,55542743040.000,56247218176.000
299,55543156736.000,56244854784.000
300,55544242176.000,56242667520.000
301,55544483840.000,56240304128.000
302,55544967168.000,56238194688.000
303,55545298944.000,56235700224.000
304,55545495552.000,56233394176.000
305,55545380864.000,56231424000.000
306,55545438208.000,56228896768.000
307,55545782272.000,56226250752.000
308,55545626624.000,56223526912.000
309,55545651200.000,56220868608.000
310,55546048512.000,56217886720.000
311,55546658816.000,56214654976.000
312,55547940864.000,56211464192.000
313,55548710912.000,56208023552.000
314,55550377984.000,56204771328.000
315,55551819776.000,56200765440.000
316,55553585152.000,56197074944.000
317,55555969024.000,56193155072.000
318,55558270976.000,56189489152.000
319,55561412608.000,56185995264.000
320,55564419072.000,56182431744.000
321,55567605760.000,56178831360.000
322,55570767872.000,56175652864.000
323,55573823488.000,56171974656.000
324,55576928256.000,56168861696.000
325,55579803648.000,56165441536.000
326,55583064064.000,56162234368.000
327,55585873920.000,56159047680.000
328,55588835328.000,56155746304.000
329,55591694336.000,56152309760.000
330,55594545152.000,56148680704.000
331,55597338624.000,56145575936.000
332,55600107520.000,56142102528.000
333,55602765824.000,56138231808.000
334,55606190080.000,56134053888.000
335,55609085952.000,56129650688.000
336,55611871232.000,56125317120.000
337,55615111168.000,56120709120.000
338,55618248704.000,56115671040.000
339,55621632000.000,56111022080.000
340,55625256960.000,56105369600.000
341,55628533760.000,56099831808.000
342,55632097280.000,56094085120.000
343,55635562496.000,56088174592.000
344,55638847488.000,56082108416.000
345,55642005504.000,56075878400.000
346,55644872704.000,56069591040.000
347,55647657984.000,56063254528.000
348,55650144256.000,56057036800.000
349,55652777984.000,56050905088.000
350,55655026688.000,56045023232.000
351,55657553920.000,56038473728.000
352,55659483136.000,56033046528.000
353,55661924352.000,56026951680.000
354,55664287744.000,56021368832.000
355,55666614272.000,56015716352.000
356,55669039104.000,56010362880.000
357,55671476224.000,56005148672.000
358,55673733120.000,56000651264.000
359,55676391424.000,55995904000.000
360,55678676992.000,55991418880.000
361,55681024000.000,55987634176.000
362,55683088384.000,55983484928.000
363,55685197824.000,55979618304.000
364,55687376896.000,55976280064.000
365,55689060352.000,55972737024.000
366,55691255808.000,55969955840.000
367,55693086720.000,55966347264.000
368,55695269888.000,55963234304.000
369,55697588224.000,55960506368.000
370,55700209664.000,55957549056.000
371,55702728704.000,55954829312.000
372,55705677824.000,55952007168.000
373,55708602368.000,55949529088.000
374,55711498240.000,55946915840.000
375,55714070528.000,55944040448.000
376,55716622336.000,55941672960.000
377,55719186432.000,55939002368.000
378,55721648128.000,55936094208.000
379,55723163648.000,55933751296.000
380,55725092864.000,55931097088.000
381,55725912064.000,55928209408.000
382,55726800896.000,55924854784.000
383,55727579136.000,55921844224.000
384,55727931392.000,55918395392.000
385,55728463872.000,55914958848.000
386,55728066560.000,55911485440.000
387,55727665152.000,55907885056.000
388,55727230976.000,55904219136.000
389,55726620672.000,55900332032.000
390,55724683264.000,55896543232.000
391,55722708992.000,55893237760.000
392,55720292352.000,55889821696.000
393,55717724160.000,55886450688.000
394,55714312192.000,55883399168.000
395,55710838784.000,55880581120.000
396,55707262976.000,55877869568.000
397,55703519232.000,55875022848.000
398,55699312640.000,55872716800.000
399,55695044608.000,55870193664.000
400,55690293248.000,55867641856.000
401,55685685248.000,55865372672.000
402,55680712704.000,55863099392.000
403,55675523072.000,55860887552.000
404,55669501952.000,55859019776.000
405,55663906816.000,55856693248.000
406,55657574400.000,55854759936.000
407,55651323904.000,55852888064.000
408,55645118464.000,55851544576.000
409,55638417408.000,55849680896.000
410,55631900672.000,55848341504.000
411,55625474048.000,55846924288.000
412,55618760704.000,55845842944.000
413,55612764160.000,55844458496.000
414,55606464512.000,55842910208.000
415,55600558080.000,55841607680.000
416,55594475520.000,55840190464.000
417,55588704256.000,55838560256.000
418,55582842880.000,55837016064.000
419,55576993792.000,55835357184.000
420,55571570688.000,55833706496.000
421,55565885440.000,55831576576.000
422,55560560640.000,55829831680.000
423,55555641344.000,55827226624.000
424,55550500864.000,55825108992.000
425,55545184256.000,55823007744.000
426,55540051968.000,55820443648.000
427,55535075328.000,55817568256.000
428,55529500672.000,55814684672.000
429,55524220928.000,55811964928.000
430,55518674944.000,55808991232.000
431,55513292800.000,55806312448.000
432,55508369408.000,55803498496.000
433,55503269888.000,55800135680.000
434,55498428416.000,55796912128.000
435,55493701632.000,55793963008.000
436,55489425408.000,55790092288.000
437,55485698048.000,55786725376.000
438,55481806848.000,55782883328.000
439,55478521856.000,55779450880.000
440,55475318784.000,55775977472.000
441,55472373760.000,55771975680.000
442,55469535232.000,55768354816.000
443,55466614784.000,55764942848.000
444,55463817216.000,55761756160.000
445,55460573184.000,55758770176.000
446,55457488896.000,55755354112.000
447,55454314496.000,55752654848.000
448,55450468352.000,55749820416.000
449,55446937600.000,55747211264.000
450,55443251200.000,55745060864.000
451,55438913536.000,55742668800.000
452,55434772480.000,55740813312.000
453,55430053888.000,55738343424.000
454,55425581056.000,55736315904.000
455,55420751872.000,55734292480.000
456,55415869440.000,55732416512.000
457,55410716672.000,55730339840.000
458,55405891584.000,55728295936.000
459,55400648704.000,55726206976.000
460,55395319808.000,55724199936.000
461,55389966336.000,55721988096.000
462,55384723456.000,55719968768.000
463,55379230720.000,55717474304.000
464,55374086144.000,55715172352.000
465,55369023488.000,55712833536.000
466,55363792896.000,55710289920.000
467,55358853120.000,55707664384.000
468,55353610240.000,55705141248.000
469,55348391936.000,55702884352.000
470,55343308800.000,55700414464.000
471,55338594304.000,55698325504.000
472,55333875712.000,55695990784.000
473,55329075200.000,55694266368.000
474,55324438528.000,55691948032.000
475,55320027136.000,55690403840.000
476,55316168704.000,55688806400.000
477,55311814656.000,55687393280.000
478,55308029952.000,55686201344.000
479,55303929856.000,55685148672.000
